date,daily_cases,Country
"February 18, 2021","['57,856']",US
"February 17, 2021","['95,902']",US
"February 16, 2021","['28,313', '28,313']",US
"February 15, 2021","['87,896']",US
"February 14, 2021","['99,024', '99,024']",US
"February 13, 2021","['101,693']",US
"February 12, 2021","['97,134', '97,134']",US
"February 11, 2021","['90,930']",US
"February 10, 2021","['86,449', '86,449']",US
"February 9, 2021","['91,412']",US
"February 8, 2021","['106,988', '106,988']",US
"February 7, 2021","['129,961']",US
"February 6, 2021","['124,866']",US
"February 5, 2021","['120,876', '120,876']",US
"February 4, 2021","['116,762']",US
"February 3, 2021","['125,444', '125,444']",US
"February 2, 2021","['112,129']",US
"February 1, 2021","['141,327', '141,327']",US
"January 31, 2021","['164,415']",US
"January 30, 2021","['158,153', '158,153']",US
"January 29, 2021","['155,203']",US
"January 28, 2021","['148,533', '148,533']",US
"January 27, 2021","['133,409']",US
"January 26, 2021","['141,691', '141,691']",US
"January 25, 2021","['170,883']",US
"January 24, 2021","['190,994', '190,994']",US
"January 23, 2021","['188,176']",US
"January 22, 2021","['187,919', '187,919']",US
"January 21, 2021","['152,937']",US
"January 20, 2021","['142,240', '142,240']",US
"January 19, 2021","['185,383']",US
"January 18, 2021","['212,253']",US
"January 17, 2021","['246,485', '246,485']",US
"January 16, 2021","['226,608']",US
"January 15, 2021","['225,573', '225,573']",US
"January 14, 2021","['217,166']",US
"January 13, 2021","['198,788', '198,788']",US
"January 12, 2021","['220,528']",US
"January 11, 2021","['248,089', '248,089']",US
"January 10, 2021","['313,516']",US
"January 9, 2021","['277,195', '277,195']",US
"January 8, 2021","['299,562']",US
"January 7, 2021","['227,369', '227,369']",US
"January 6, 2021","['173,375']",US
"January 5, 2021","['211,444', '211,444']",US
"January 4, 2021","['284,312']",US
"January 3, 2021","['167,759', '167,759']",US
"January 2, 2021","['228,437']",US
"January 1, 2021","['231,427', '231,427']",US
"December 31, 2020","['199,163']",US
"December 30, 2020","['174,814']",US
"December 29, 2020","['145,513', '145,513']",US
"December 28, 2020","['178,311']",US
"December 27, 2020","['145,489', '145,489']",US
"December 26, 2020","['192,095']",US
"December 25, 2020","['221,145', '221,145']",US
"December 24, 2020","['195,151']",US
"December 23, 2020","['182,819', '182,819']",US
"December 22, 2020","['197,199']",US
"December 21, 2020","['200,257', '200,257']",US
"December 20, 2020","['402,270']",US
"December 19, 2020","['229,915', '229,915']",US
"December 18, 2020","['235,805']",US
"December 17, 2020","['201,468', '201,468']",US
"December 16, 2020","['204,281']",US
"December 15, 2020","['180,420', '180,420']",US
"December 14, 2020","['212,577']",US
"December 13, 2020","['243,209', '243,209']",US
"December 12, 2020","['201,681']",US
"December 11, 2020","['230,852']",US
"December 10, 2020","['216,360', '216,360']",US
"December 9, 2020","['185,473']",US
"December 8, 2020","['173,388', '173,388']",US
"December 7, 2020","['205,837']",US
"December 6, 2020","['213,127', '213,127']",US
"December 5, 2020","['218,671']",US
"December 4, 2020","['195,769', '195,769']",US
"December 3, 2020","['177,976']",US
"December 2, 2020","['151,204', '151,204']",US
"December 1, 2020","['151,674']",US
"November 30, 2020","['143,211', '143,211']",US
"November 29, 2020","['175,669']",US
"November 28, 2020","['141,222', '141,222']",US
"November 27, 2020","['180,850']",US
"November 26, 2020","['165,091', '165,091']",US
"November 25, 2020","['157,180']",US
"November 24, 2020","['147,098', '147,098']",US
"November 23, 2020","['183,544']",US
"November 22, 2020","['191,033']",US
"November 21, 2020","['184,191', '184,191']",US
"November 20, 2020","['164,560']",US
"November 19, 2020","['164,044', '164,044']",US
"November 18, 2020","['151,266']",US
"November 17, 2020","['137,486', '137,486']",US
"November 16, 2020","['155,001']",US
"November 15, 2020","['181,066', '181,066']",US
"November 14, 2020","['193,734']",US
"November 13, 2020","['142,076', '142,076']",US
"November 12, 2020","['133,935']",US
"November 11, 2020","['122,231', '122,231']",US
"November 10, 2020","['104,659']",US
"November 9, 2020","['127,151', '127,151']",US
"November 8, 2020","['131,821']",US
"November 7, 2020","['116,780', '116,780']",US
"November 6, 2020","['106,050']",US
"November 5, 2020","['88,163']",US
"November 4, 2020","['85,412', '85,412']",US
"November 3, 2020","['75,888']",US
"November 2, 2020","['80,379', '80,379']",US
"November 1, 2020","['99,356']",US
"October 31, 2020","['89,048', '89,048']",US
"October 30, 2020","['80,384']",US
"October 29, 2020","['72,042', '72,042']",US
"October 28, 2020","['63,145']",US
"October 27, 2020","['62,364', '62,364']",US
"October 26, 2020","['82,626']",US
"October 25, 2020","['82,630', '82,630']",US
"October 24, 2020","['72,342']",US
"October 23, 2020","['63,361', '63,361']",US
"October 22, 2020","['60,155']",US
"October 21, 2020","['59,018', '59,018']",US
"October 20, 2020","['46,378']",US
"October 19, 2020","['52,508', '52,508']",US
"October 18, 2020","['69,834']",US
"October 17, 2020","['63,044']",US
"October 16, 2020","['59,106', '59,106']",US
"October 15, 2020","['46,309']",US
"October 14, 2020","['46,308', '46,308']",US
"October 13, 2020","['45,325']",US
"October 12, 2020","['53,055', '53,055']",US
"October 11, 2020","['57,828']",US
"October 10, 2020","['54,232', '54,232']",US
"October 9, 2020","['52,458']",US
"October 8, 2020","['38,904', '38,904']",US
"October 7, 2020","['38,920']",US
"October 6, 2020","['36,136', '36,136']",US
"October 5, 2020","['49,036']",US
"October 4, 2020","['49,465', '49,465']",US
"October 3, 2020","['46,293']",US
"October 2, 2020","['44,985', '44,985']",US
"October 1, 2020","['38,476']",US
"September 30, 2020","['32,688', '32,688']",US
"September 29, 2020","['35,217']",US
"September 28, 2020","['48,958']",US
"September 27, 2020","['50,070', '50,070']",US
"September 26, 2020","['41,254']",US
"September 25, 2020","['40,043', '40,043']",US
"September 24, 2020","['49,176']",US
"September 23, 2020","['39,145', '39,145']",US
"September 22, 2020","['36,766']",US
"September 21, 2020","['41,695', '41,695']",US
"September 20, 2020","['48,266']",US
"September 19, 2020","['42,618', '42,618']",US
