Date,Open,High,Low,Close*,Adj Close**,Volume,Index
"Nov 24, 2020","3,594.52","3,642.31","3,594.52","3,635.41","3,635.41","6,267,570,000",^GSPC
"Nov 23, 2020","3,566.82","3,589.81","3,552.77","3,577.59","3,577.59","5,036,290,000",^GSPC
"Nov 20, 2020","3,579.31","3,581.23","3,556.85","3,557.54","3,557.54","4,218,970,000",^GSPC
"Nov 19, 2020","3,559.41","3,585.22","3,543.84","3,581.87","3,581.87","4,347,200,000",^GSPC
"Nov 18, 2020","3,612.09","3,619.09","3,567.33","3,567.79","3,567.79","5,274,450,000",^GSPC
"Nov 17, 2020","3,610.31","3,623.11","3,588.68","3,609.53","3,609.53","4,799,570,000",^GSPC
"Nov 16, 2020","3,600.16","3,628.51","3,600.16","3,626.91","3,626.91","5,281,980,000",^GSPC
"Nov 13, 2020","3,552.57","3,593.66","3,552.57","3,585.15","3,585.15","4,709,670,000",^GSPC
"Nov 12, 2020","3,562.67","3,569.02","3,518.58","3,537.01","3,537.01","4,890,120,000",^GSPC
"Nov 11, 2020","3,563.22","3,581.16","3,557.00","3,572.66","3,572.66","4,609,970,000",^GSPC
"Nov 10, 2020","3,543.26","3,557.22","3,511.91","3,545.53","3,545.53","6,024,230,000",^GSPC
"Nov 09, 2020","3,583.04","3,645.99","3,547.48","3,550.50","3,550.50","8,556,610,000",^GSPC
"Nov 06, 2020","3,508.34","3,521.58","3,484.34","3,509.44","3,509.44","4,833,950,000",^GSPC
"Nov 05, 2020","3,485.74","3,529.05","3,485.74","3,510.45","3,510.45","4,841,190,000",^GSPC
"Nov 04, 2020","3,406.46","3,486.25","3,405.17","3,443.44","3,443.44","4,783,040,000",^GSPC
"Nov 03, 2020","3,336.25","3,389.49","3,336.25","3,369.16","3,369.16","4,220,070,000",^GSPC
"Nov 02, 2020","3,296.20","3,330.14","3,279.74","3,310.24","3,310.24","4,310,590,000",^GSPC
"Oct 30, 2020","3,293.59","3,304.93","3,233.94","3,269.96","3,269.96","4,840,450,000",^GSPC
"Oct 29, 2020","3,277.17","3,341.05","3,259.82","3,310.11","3,310.11","4,903,070,000",^GSPC
"Oct 28, 2020","3,342.48","3,342.48","3,268.89","3,271.03","3,271.03","5,129,860,000",^GSPC
"Oct 27, 2020","3,403.15","3,409.51","3,388.71","3,390.68","3,390.68","3,946,990,000",^GSPC
"Oct 26, 2020","3,441.42","3,441.42","3,364.86","3,400.97","3,400.97","3,988,080,000",^GSPC
"Oct 23, 2020","3,464.90","3,466.46","3,440.45","3,465.39","3,465.39","3,646,570,000",^GSPC
"Oct 22, 2020","3,438.50","3,460.53","3,415.34","3,453.49","3,453.49","4,163,630,000",^GSPC
"Oct 21, 2020","3,439.91","3,464.86","3,433.06","3,435.56","3,435.56","4,097,750,000",^GSPC
"Oct 20, 2020","3,439.38","3,476.93","3,435.65","3,443.12","3,443.12","3,901,260,000",^GSPC
"Oct 19, 2020","3,493.66","3,502.42","3,419.93","3,426.92","3,426.92","4,086,200,000",^GSPC
"Oct 16, 2020","3,493.50","3,515.76","3,480.45","3,483.81","3,483.81","4,675,890,000",^GSPC
"Oct 15, 2020","3,453.72","3,489.08","3,440.89","3,483.34","3,483.34","3,717,640,000",^GSPC
"Oct 14, 2020","3,515.47","3,527.94","3,480.55","3,488.67","3,488.67","3,840,630,000",^GSPC
"Oct 13, 2020","3,534.01","3,534.01","3,500.86","3,511.93","3,511.93","3,605,150,000",^GSPC
"Oct 12, 2020","3,500.02","3,549.85","3,499.61","3,534.22","3,534.22","3,428,970,000",^GSPC
"Oct 09, 2020","3,459.67","3,482.34","3,458.07","3,477.14","3,477.14","3,939,060,000",^GSPC
"Oct 08, 2020","3,434.28","3,447.28","3,428.15","3,446.83","3,446.83","3,856,190,000",^GSPC
"Oct 07, 2020","3,384.56","3,426.26","3,384.56","3,419.44","3,419.44","3,807,830,000",^GSPC
"Oct 06, 2020","3,408.74","3,431.56","3,354.54","3,360.97","3,360.97","4,443,380,000",^GSPC
"Oct 05, 2020","3,367.27","3,409.57","3,367.27","3,408.60","3,408.60","3,686,920,000",^GSPC
"Oct 02, 2020","3,338.94","3,369.10","3,323.69","3,348.42","3,348.42","3,961,550,000",^GSPC
"Oct 01, 2020","3,385.87","3,397.18","3,361.39","3,380.80","3,380.80","4,070,530,000",^GSPC
"Sep 30, 2020","3,341.21","3,393.56","3,340.47","3,363.00","3,363.00","4,722,530,000",^GSPC
"Sep 29, 2020","3,350.92","3,357.92","3,327.54","3,335.47","3,335.47","3,651,880,000",^GSPC
"Sep 28, 2020","3,333.90","3,360.74","3,332.91","3,351.60","3,351.60","3,946,060,000",^GSPC
"Sep 25, 2020","3,236.66","3,306.88","3,228.44","3,298.46","3,298.46","3,792,220,000",^GSPC
"Sep 24, 2020","3,226.14","3,278.70","3,209.45","3,246.59","3,246.59","4,599,470,000",^GSPC
"Sep 23, 2020","3,320.11","3,323.35","3,232.57","3,236.92","3,236.92","4,364,500,000",^GSPC
"Sep 22, 2020","3,295.75","3,320.31","3,270.95","3,315.57","3,315.57","3,963,300,000",^GSPC
"Sep 21, 2020","3,285.57","3,285.57","3,229.10","3,281.06","3,281.06","4,828,350,000",^GSPC
"Sep 18, 2020","3,357.38","3,362.27","3,292.40","3,319.47","3,319.47","7,068,700,000",^GSPC
"Sep 17, 2020","3,346.86","3,375.17","3,328.82","3,357.01","3,357.01","4,371,940,000",^GSPC
"Sep 16, 2020","3,411.23","3,428.92","3,384.45","3,385.49","3,385.49","4,710,030,000",^GSPC
"Sep 15, 2020","3,407.73","3,419.48","3,389.25","3,401.20","3,401.20","4,051,460,000",^GSPC
"Sep 14, 2020","3,363.56","3,402.93","3,363.56","3,383.54","3,383.54","3,832,130,000",^GSPC
"Sep 11, 2020","3,352.70","3,368.95","3,310.47","3,340.97","3,340.97","3,704,450,000",^GSPC
"Sep 10, 2020","3,412.56","3,425.55","3,329.25","3,339.19","3,339.19","4,192,250,000",^GSPC
"Sep 09, 2020","3,369.82","3,424.77","3,366.84","3,398.96","3,398.96","3,920,830,000",^GSPC
"Sep 08, 2020","3,371.88","3,379.97","3,329.27","3,331.84","3,331.84","4,665,600,000",^GSPC
"Sep 04, 2020","3,453.60","3,479.15","3,349.63","3,426.96","3,426.96","4,431,440,000",^GSPC
"Sep 03, 2020","3,564.74","3,564.85","3,427.41","3,455.06","3,455.06","4,898,680,000",^GSPC
"Sep 02, 2020","3,543.76","3,588.11","3,535.23","3,580.84","3,580.84","4,285,190,000",^GSPC
"Sep 01, 2020","3,507.44","3,528.03","3,494.60","3,526.65","3,526.65","4,083,110,000",^GSPC
"Aug 31, 2020","3,509.73","3,514.77","3,493.25","3,500.31","3,500.31","4,342,290,000",^GSPC
"Aug 28, 2020","3,494.69","3,509.23","3,484.32","3,508.01","3,508.01","3,855,880,000",^GSPC
"Aug 27, 2020","3,485.14","3,501.38","3,468.35","3,484.55","3,484.55","3,929,560,000",^GSPC
"Aug 26, 2020","3,449.97","3,481.07","3,444.15","3,478.73","3,478.73","3,754,360,000",^GSPC
"Aug 25, 2020","3,435.95","3,444.21","3,425.84","3,443.62","3,443.62","3,619,300,000",^GSPC
"Aug 24, 2020","3,418.09","3,432.09","3,413.13","3,431.28","3,431.28","3,728,690,000",^GSPC
