Daily_cases;Date;Country
205,837;07.12.2020;US
213,127;06.12.2020;US
218,671;05.12.2020;US
195,769;04.12.2020;US
177,976;03.12.2020;US
151,204;02.12.2020;US
151,674;01.12.2020;US
143,211;30.11.2020;US
175,669;29.11.2020;US
141,222;28.11.2020;US
180,850;27.11.2020;US
165,091;26.11.2020;US
157,180;25.11.2020;US
147,098;24.11.2020;US
183,544;23.11.2020;US
191,033;22.11.2020;US
184,191;21.11.2020;US
164,560;20.11.2020;US
164,044;19.11.2020;US
151,266;18.11.2020;US
137,486;17.11.2020;US
155,001;16.11.2020;US
181,066;15.11.2020;US
193,734;14.11.2020;US
142,076;13.11.2020;US
133,935;12.11.2020;US
122,231;11.11.2020;US
104,659;10.11.2020;US
127,151;09.11.2020;US
131,821;08.11.2020;US
116,780;07.11.2020;US
106,050;06.11.2020;US
88,163;05.11.2020;US
85,412;04.11.2020;US
75,888;03.11.2020;US
80,379;02.11.2020;US
99,356;01.11.2020;US
89,048;31.10.2020;US
80,384;30.10.2020;US
72,042;29.10.2020;US
63,145;28.10.2020;US
62,364;27.10.2020;US
82,626;26.10.2020;US
82,630;25.10.2020;US
72,342;24.10.2020;US
63,361;23.10.2020;US
60,155;22.10.2020;US
59,018;21.10.2020;US
46,378;20.10.2020;US
52,508;19.10.2020;US
69,834;18.10.2020;US
63,044;17.10.2020;US
59,106;16.10.2020;US
46,309;15.10.2020;US
46,308;14.10.2020;US
45,325;13.10.2020;US
53,055;12.10.2020;US
57,828;11.10.2020;US
54,232;10.10.2020;US
52,458;09.10.2020;US
38,904;08.10.2020;US
38,920;07.10.2020;US
36,136;06.10.2020;US
49,036;05.10.2020;US
49,465;04.10.2020;US
46,293;03.10.2020;US
44,985;02.10.2020;US
38,476;01.10.2020;US
32,688;30.09.2020;US
35,217;29.09.2020;US
48,958;28.09.2020;US
50,070;27.09.2020;US
41,254;26.09.2020;US
40,043;25.09.2020;US
49,176;24.09.2020;US
39,145;23.09.2020;US
36,766;22.09.2020;US
41,695;21.09.2020;US
48,266;20.09.2020;US
42,618;19.09.2020;US
40,795;18.09.2020;US
34,078;17.09.2020;US
34,111;16.09.2020;US
35,177;15.09.2020;US
40,126;14.09.2020;US
45,523;13.09.2020;US
37,128;12.09.2020;US
31,988;11.09.2020;US
23,204;10.09.2020;US
26,015;09.09.2020;US
33,486;08.09.2020;US
45,350;07.09.2020;US
49,131;06.09.2020;US
44,563;05.09.2020;US
39,402;04.09.2020;US
42,662;03.09.2020;US
31,808;02.09.2020;US
37,068;01.09.2020;US
43,983;31.08.2020;US
44,002;30.08.2020;US
46,194;29.08.2020;US
45,484;28.08.2020;US
37,030;27.08.2020;US
32,883;26.08.2020;US
37,765;25.08.2020;US
44,946;24.08.2020;US
45,960;23.08.2020;US
43,952;22.08.2020;US
46,259;21.08.2020;US
37,908;20.08.2020;US
39,125;19.08.2020;US
41,073;18.08.2020;US
54,375;17.08.2020;US
55,359;16.08.2020;US
52,799;15.08.2020;US
55,907;14.08.2020;US
54,791;13.08.2020;US
39,894;12.08.2020;US
47,964;11.08.2020;US
53,893;10.08.2020;US
61,028;09.08.2020;US
55,318;08.08.2020;US
53,373;07.08.2020;US
49,629;06.08.2020;US
49,151;05.08.2020;US
47,183;04.08.2020;US
58,388;03.08.2020;US
67,499;02.08.2020;US
67,823;01.08.2020;US
65,406;31.07.2020;US
59,629;30.07.2020;US
54,022;29.07.2020;US
61,498;28.07.2020;US
63,968;27.07.2020;US
74,235;26.07.2020;US
71,714;25.07.2020;US
69,641;24.07.2020;US
62,929;23.07.2020;US
57,276;22.07.2020;US
62,788;21.07.2020;US
66,963;20.07.2020;US
74,354;19.07.2020;US
71,484;18.07.2020;US
67,165;17.07.2020;US
60,711;16.07.2020;US
58,720;15.07.2020;US
60,113;14.07.2020;US
62,369;13.07.2020;US
66,281;12.07.2020;US
58,975;11.07.2020;US
64,630;10.07.2020;US
50,263;09.07.2020;US
46,194;08.07.2020;US
43,686;07.07.2020;US
57,186;06.07.2020;US
51,933;05.07.2020;US
53,213;04.07.2020;US
54,271;03.07.2020;US
43,556;02.07.2020;US
35,757;01.07.2020;US
41,008;30.06.2020;US
44,580;29.06.2020;US
44,458;28.06.2020;US
40,526;27.06.2020;US
37,601;26.06.2020;US
34,191;25.06.2020;US
26,519;24.06.2020;US
27,575;23.06.2020;US
32,349;22.06.2020;US
36,617;21.06.2020;US
23,046;20.06.2020;US
23,139;19.06.2020;US
27,921;18.06.2020;US
18,514;17.06.2020;US
21,754;16.06.2020;US
25,314;15.06.2020;US
22,133;14.06.2020;US
21,745;13.06.2020;US
20,315;12.06.2020;US
17,235;11.06.2020;US
17,536;10.06.2020;US
17,848;09.06.2020;US
28,918;08.06.2020;US
28,922;07.06.2020;US
20,069;06.06.2020;US
14,583;05.06.2020;US
24,890;04.06.2020;US
14,692;03.06.2020;US
26,116;02.06.2020;US
23,482;01.06.2020;US
17,962;31.05.2020;US
21,214;30.05.2020;US
19,606;29.05.2020;US
16,362;28.05.2020;US
24,886;27.05.2020;US
15,253;26.05.2020;US
26,158;25.05.2020;US
24,151;24.05.2020;US
20,475;23.05.2020;US
22,787;22.05.2020;US
23,310;21.05.2020;US
24,417;20.05.2020;US
13,227;19.05.2020;US
31,967;18.05.2020;US
22,813;17.05.2020;US
27,090;16.05.2020;US
20,840;15.05.2020;US
21,424;14.05.2020;US
18,044;13.05.2020;US
23,767;12.05.2020;US
26,642;11.05.2020;US
25,870;10.05.2020;US
30,204;09.05.2020;US
22,119;08.05.2020;US
22,267;07.05.2020;US
16,200;06.05.2020;US
29,266;05.05.2020;US
31,839;04.05.2020;US
26,753;03.05.2020;US
31,774;02.05.2020;US
31,379;01.05.2020;US
20,517;30.04.2020;US
22,541;29.04.2020;US
29,218;28.04.2020;US
32,417;27.04.2020;US
38,509;26.04.2020;US
30,719;25.04.2020;US
29,127;24.04.2020;US
24,019;23.04.2020;US
25,634;22.04.2020;US
27,668;21.04.2020;US
28,252;20.04.2020;US
30,023;19.04.2020;US
32,549;18.04.2020;US
28,711;17.04.2020;US
25,802;16.04.2020;US
24,446;15.04.2020;US
29,308;14.04.2020;US
31,633;13.04.2020;US
31,606;12.04.2020;US
35,386;11.04.2020;US
30,859;10.04.2020;US
31,709;09.04.2020;US
29,510;08.04.2020;US
26,493;07.04.2020;US
33,510;06.04.2020;US
32,105;05.04.2020;US
28,103;04.04.2020;US
26,298;03.04.2020;US
24,103;02.04.2020;US
22,559;01.04.2020;US
17,987;31.03.2020;US
19,332;30.03.2020;US
18,093;29.03.2020;US
16,894;28.03.2020;US
0;27.03.2020;US
16,420;26.03.2020;US
0;25.03.2020;US
20,341;24.03.2020;US
16,354;23.03.2020;US
0;22.03.2020;US
0;21.03.2020;US
4,777;20.03.2020;US
3,351;19.03.2020;US
3,551;18.03.2020;US
1,822;17.03.2020;US
0;16.03.2020;US
36;15.03.2020;US
414;14.03.2020;US
277;13.03.2020;US
291;12.03.2020;US
0;11.03.2020;US
224;10.03.2020;US
259;09.03.2020;US
0;08.03.2020;US
0;07.03.2020;US
84;06.03.2020;US
0;05.03.2020;US
21;04.03.2020;US
44;03.03.2020;US
2;02.03.2020;US
0;01.03.2020;US
0;29.02.2020;US
3;28.02.2020;US
0;27.02.2020;US
6;26.02.2020;US
0;25.02.2020;US
18;24.02.2020;US
0;23.02.2020;US
1;22.02.2020;US
19;21.02.2020;US
0;20.02.2020;US
0;19.02.2020;US
0;18.02.2020;US
0;17.02.2020;US
0;16.02.2020;US
0;15.02.2020;US
0;14.02.2020;US
2;13.02.2020;US
0;12.02.2020;US
1;11.02.2020;US
0;10.02.2020;US
0;09.02.2020;US
0;08.02.2020;US
0;07.02.2020;US
1;06.02.2020;US
0;05.02.2020;US
0;04.02.2020;US
3;03.02.2020;US
0;02.02.2020;US
1;01.02.2020;US
1;31.01.2020;US
1;30.01.2020;US
0;29.01.2020;US
0;28.01.2020;US
0;27.01.2020;US
3;26.01.2020;US
0;25.01.2020;US
1;24.01.2020;US
0;23.01.2020;US
0;22.01.2020;US
0;21.01.2020;US
5;20.01.2020;US
0;19.01.2020;US
0;18.01.2020;US
0;17.01.2020;US
0;16.01.2020;US
0;15.01.2020;US
0;14.01.2020;US
0;13.01.2020;US
0;12.01.2020;US
0;11.01.2020;US
0;10.01.2020;US
0;09.01.2020;US
0;08.01.2020;US
0;07.01.2020;US
0;06.01.2020;US
0;05.01.2020;US
0;04.01.2020;US
5,201;07.12.2020;AR
6,899;06.12.2020;AR
7,629;05.12.2020;AR
7,533;04.12.2020;AR
8,037;03.12.2020;AR
5,726;02.12.2020;AR
5,432;01.12.2020;AR
6,098;30.11.2020;AR
7,846;29.11.2020;AR
9,043;28.11.2020;AR
8,593;27.11.2020;AR
7,164;26.11.2020;AR
4,265;25.11.2020;AR
4,184;24.11.2020;AR
7,140;23.11.2020;AR
9,608;22.11.2020;AR
10,097;21.11.2020;AR
10,332;20.11.2020;AR
10,621;19.11.2020;AR
7,893;18.11.2020;AR
5,645;17.11.2020;AR
8,468;16.11.2020;AR
11,859;15.11.2020;AR
11,163;14.11.2020;AR
10,880;13.11.2020;AR
11,977;12.11.2020;AR
8,317;11.11.2020;AR
5,331;10.11.2020;AR
8,037;09.11.2020;AR
11,786;08.11.2020;AR
11,100;07.11.2020;AR
9,516;06.11.2020;AR
13,281;05.11.2020;AR
9,598;04.11.2020;AR
6,609;03.11.2020;AR
9,745;02.11.2020;AR
13,379;01.11.2020;AR
13,267;31.10.2020;AR
13,924;30.10.2020;AR
14,308;29.10.2020;AR
11,712;28.10.2020;AR
9,253;27.10.2020;AR
11,968;26.10.2020;AR
15,718;25.10.2020;AR
16,325;24.10.2020;AR
15,928;23.10.2020;AR
18,735;22.10.2020;AR
12,982;21.10.2020;AR
10,561;20.10.2020;AR
13,510;19.10.2020;AR
16,546;18.10.2020;AR
17,096;17.10.2020;AR
14,932;16.10.2020;AR
13,305;15.10.2020;AR
9,524;14.10.2020;AR
10,324;13.10.2020;AR
12,414;12.10.2020;AR
15,099;11.10.2020;AR
15,454;10.10.2020;AR
16,447;09.10.2020;AR
14,740;08.10.2020;AR
11,242;07.10.2020;AR
7,668;06.10.2020;AR
11,129;05.10.2020;AR
14,687;04.10.2020;AR
14,001;03.10.2020;AR
14,392;02.10.2020;AR
13,477;01.10.2020;AR
11,807;30.09.2020;AR
8,841;29.09.2020;AR
11,249;28.09.2020;AR
12,969;27.09.2020;AR
13,467;26.09.2020;AR
12,625;25.09.2020;AR
12,027;24.09.2020;AR
8,782;23.09.2020;AR
8,431;22.09.2020;AR
9,276;21.09.2020;AR
11,945;20.09.2020;AR
12,701;19.09.2020;AR
11,674;18.09.2020;AR
11,892;17.09.2020;AR
9,909;16.09.2020;AR
9,056;15.09.2020;AR
10,776;14.09.2020;AR
11,507;13.09.2020;AR
11,905;12.09.2020;AR
12,259;11.09.2020;AR
12,027;10.09.2020;AR
9,215;09.09.2020;AR
6,986;08.09.2020;AR
9,924;07.09.2020;AR
10,684;06.09.2020;AR
12,026;05.09.2020;AR
10,933;04.09.2020;AR
10,504;03.09.2020;AR
9,309;02.09.2020;AR
7,187;01.09.2020;AR
9,230;31.08.2020;AR
11,717;30.08.2020;AR
10,104;29.08.2020;AR
10,550;28.08.2020;AR
8,771;27.08.2020;AR
8,713;26.08.2020;AR
5,352;25.08.2020;AR
7,759;24.08.2020;AR
8,159;23.08.2020;AR
8,225;22.08.2020;AR
6,693;21.08.2020;AR
6,840;20.08.2020;AR
4,557;19.08.2020;AR
5,469;18.08.2020;AR
6,663;17.08.2020;AR
6,365;16.08.2020;AR
7,498;15.08.2020;AR
7,663;14.08.2020;AR
7,043;13.08.2020;AR
7,369;12.08.2020;AR
4,688;11.08.2020;AR
6,134;10.08.2020;AR
7,482;09.08.2020;AR
7,513;08.08.2020;AR
7,147;07.08.2020;AR
6,792;06.08.2020;AR
4,824;05.08.2020;AR
5,376;04.08.2020;AR
5,241;03.08.2020;AR
5,929;02.08.2020;AR
6,377;01.08.2020;AR
5,641;31.07.2020;AR
5,939;30.07.2020;AR
4,890;29.07.2020;AR
4,205;28.07.2020;AR
4,801;27.07.2020;AR
5,493;26.07.2020;AR
6,127;25.07.2020;AR
5,782;24.07.2020;AR
5,344;23.07.2020;AR
4,019;22.07.2020;AR
4,231;21.07.2020;AR
3,223;20.07.2020;AR
4,518;19.07.2020;AR
3,623;18.07.2020;AR
4,250;17.07.2020;AR
3,645;16.07.2020;AR
3,099;15.07.2020;AR
2,657;14.07.2020;AR
3,449;13.07.2020;AR
3,367;12.07.2020;AR
3,663;11.07.2020;AR
3,604;10.07.2020;AR
2,979;09.07.2020;AR
2,632;08.07.2020;AR
2,439;07.07.2020;AR
2,590;06.07.2020;AR
2,845;05.07.2020;AR
2,744;04.07.2020;AR
2,667;03.07.2020;AR
2,262;02.07.2020;AR
2,335;01.07.2020;AR
2,189;30.06.2020;AR
2,401;29.06.2020;AR
2,886;28.06.2020;AR
2,606;27.06.2020;AR
2,635;26.06.2020;AR
2,285;25.06.2020;AR
2,146;24.06.2020;AR
1,581;23.06.2020;AR
1,634;22.06.2020;AR
2,060;21.06.2020;AR
1,958;20.06.2020;AR
1,393;19.06.2020;AR
1,374;18.06.2020;AR
1,208;17.06.2020;AR
1,282;16.06.2020;AR
1,531;15.06.2020;AR
1,391;14.06.2020;AR
1,386;13.06.2020;AR
