Daily_cases;Date;Open;High;Low;Close;Adj Close;Volume;Index;Name;Country_Name;Country_Code;WHO_region
147098;24.11.2020;22.04;22.48;20.8;21.64;21.64;;VIX;CBOE Volatility Index;US;US;AMRO
147098;24.11.2020;1819.52;1862.17;1819.52;1853.53;1853.53;62675700;RUT;Russell 2000;US;US;AMRO
147098;24.11.2020;2268.15;2306.46;2266.41;2301.58;2301.58;;XAX;NYSE AMEX COMPOSITE INDEX;US;US;AMRO
147098;24.11.2020;14158.71;14271.09;14138.38;14249.5;14249.5;6267570000;NYA;NYSE COMPOSITE (DJ);US;US;AMRO
147098;24.11.2020;11939.33;12049.88;11863.45;12036.79;12036.79;6277790000;IXIC;Nasdaq;US;US;AMRO
147098;24.11.2020;29746.11;30116.51;29746.11;30046.24;30046.24;432760000;DJI;Dow 30;US;US;AMRO
147098;24.11.2020;3594.52;3642.31;3594.52;3635.41;3635.41;6267570000;GSPC;S&P 500;US;US;AMRO
183544;23.11.2020;23.66;23.96;22.45;22.66;22.66;;VIX;CBOE Volatility Index;US;US;AMRO
183544;23.11.2020;1787.24;1827.6;1787.24;1818.3;1818.3;50362900;RUT;Russell 2000;US;US;AMRO
183544;23.11.2020;2200.79;2243.38;2200.79;2240.11;2240.11;;XAX;NYSE AMEX COMPOSITE INDEX;US;US;AMRO
183544;23.11.2020;13827;14029.33;13827;13998.24;13998.24;5036290000;NYA;NYSE COMPOSITE (DJ);US;US;AMRO
183544;23.11.2020;11916.76;11949.33;11796.53;11880.63;11880.63;5360830000;IXIC;Nasdaq;US;US;AMRO
183544;23.11.2020;29332.82;29667.75;29332.82;29591.27;29591.27;387200000;DJI;Dow 30;US;US;AMRO
183544;23.11.2020;3566.82;3589.81;3552.77;3577.59;3577.59;5036290000;GSPC;S&P 500;US;US;AMRO
164560;20.11.2020;23.43;23.73;22.13;23.7;23.7;;VIX;CBOE Volatility Index;US;US;AMRO
164560;20.11.2020;1782.15;1787.39;1771.13;1785.34;1785.34;42189700;RUT;Russell 2000;US;US;AMRO
164560;20.11.2020;2207.19;2212.9;2186.5;2200.79;2200.79;;XAX;NYSE AMEX COMPOSITE INDEX;US;US;AMRO
164560;20.11.2020;13853.12;13883.45;13810.24;13827;13827;4218970000;NYA;NYSE COMPOSITE (DJ);US;US;AMRO
164560;20.11.2020;11892.7;11935.47;11852.51;11854.97;11854.97;5319340000;IXIC;Nasdaq;US;US;AMRO
164560;20.11.2020;29437.57;29469.89;29231.2;29263.48;29263.48;305350000;DJI;Dow 30;US;US;AMRO
164560;20.11.2020;3579.31;3581.23;3556.85;3557.54;3557.54;4218970000;GSPC;S&P 500;US;US;AMRO
164044;19.11.2020;23.62;24.52;22.56;23.11;23.11;;VIX;CBOE Volatility Index;US;US;AMRO
